unique_id,ds,LGBMRegressor,XGBRegressor,LinearRegression,LGBMRegressor-lo-95,LGBMRegressor-hi-95,XGBRegressor-lo-95,XGBRegressor-hi-95,LinearRegression-lo-95,LinearRegression-hi-95
1,2024-04-03 13:00:00,422319.10063555767,428923.06,405373.34661503107,374656.5829993542,469981.6182717611,378328.4609375,479517.6640625,332759.9243973697,477986.76883269247

1,2024-04-03 14:00:00,430264.3311969252,434044.53,413830.817033312,392336.94164068706,468191.72075316333,386933.59659375,481155.46590625,350991.1829070658,476670.4511595582

1,2024-04-03 15:00:00,436068.6980883206,437782.7,420950.6072071501,407911.9975841653,464225.3985924759,398707.20709375,476858.16790625,369960.6371421935,471940.5772721067

1,2024-04-03 16:00:00,439145.52049012977,437456.94,426406.57409086684,415200.52801771456,463090.512962545,398684.0666875,476229.8083125,387485.2061936247,465327.94198810897

1,2024-04-03 17:00:00,442007.9404852093,436288.75,430390.7062977981,422007.0478602739,462008.83311014465,399113.77696875,473463.72303125,403095.21749006206,457686.1951055341

1,2024-04-03 18:00:00,444880.6136255931,436181.28,433406.2203809387,424325.61489425594,465435.6123569302,399816.36850000004,472546.194,412355.2618588356,454457.1789030419

1,2024-04-03 19:00:00,446115.3642299361,436269.06,436148.7757972556,424364.57204025367,467866.1564196185,400475.905625,472062.219375,414720.1337017469,457577.4178927644

1,2024-04-03 20:00:00,447343.66310081206,437579.28,439263.7841490292,422699.8861090999,471987.4400925242,401170.12084374996,473988.44165625004,417461.7447005773,461065.82359748107

1,2024-04-03 21:00:00,450538.2722880655,439074.3,443256.0849334435,423755.5568343842,477320.9877417468,403825.3476875,474323.2773125,419350.1449705711,467162.02489631594

1,2024-04-03 22:00:00,452336.36677295814,440909.78,447838.1364400631,425980.20728561154,478692.52626030473,404328.40440625005,477491.15809375,422369.9814136543,473306.291466472

1,2024-04-03 23:00:00,454100.07609468215,439840.5,452129.46700846875,429495.2009142548,478704.9512751095,401582.19009374996,478098.80990625004,425995.5107873902,478263.42322954733
